drugName,condition,review,rating,predicted_rating,generated_summary,identified_sentiment
Tioconazole,Vaginal Yeast Infection,First time YI. Used monistat one day cream tubey thing. Love it. After about 30 min there was some burning and itching going on but it wasn't so unbearable that I couldn't function and the itch and burn went away after a little while. I used cortizone 10 maximum strength feminine itch relief. It helps so much with that unexpected itch and burn after inserting monistat.,7,8,Effective treatment with minor temporary irritation.,positive
Clarithromycin,Tonsillitis/Pharyngitis,Took generic Biaxin (500mg 2x a day) / clarythromicin and it quickly made my illness go away but at the expense of crummy side effects. Never had medicine make me have such bad digestive effects (diarrhea) plus severe headaches and spells of dizzyness. After three days called the doctor and he immediately changed my medicine. I do not recommend this medicine at all.,1,3,Effective but with severe side effects.,negative
Pramipexole,Restless Legs Syndrome,I took requip and stopped because after I took it for a few hours I would actually have horrible symptoms. I changed to Mirapex and now the same thing is happening. I saw one other person said that....why is this happening. My Dr says it can't be but I know it is.,2,1,Severe adverse effects with both drugs.,negative
Hydrochlorothiazide / triamterene,Edema,"I've been taking maxzide-25 for over a year and it definitely keeps the fluid from hanging around the ankles. I initally had a mild nagging headache the first 3 days, after that no problems.",9,8,Effective edema treatment with minor initial headache.,positive
Escitalopram,Anxiety,"I randomly started having horrible anxiety making me feel sick and wanting to avoid all social situations. Dr put me on Lexapro 10mg and it’s been a life saver. I was worried at first with bad reviews, but I shouldn’t have been. Only side effect was dry mouth the first two days. Took about 3 weeks to work, but suddenly one day I realized I had no anxiety. It’s been a blessing.",10,8,Effective anxiety relief with minor dry mouth side effect.,positive
Acetaminophen / oxycodone,Pain,Percocet 10/325 is the only medicine which takes my back pain away as I have degenerative disc disease. I do not know what I would do without them.,10,10,Life-saving pain relief for degenerative disc disease.,positive
Quetiapine,Bipolar Disorde,"I spent months on this medication and all it ever did for me was make me drowsy, all I ever did was sleep, not worth the toxicity to your liver",3,1,Severe drowsiness and liver toxicity with no efficacy.,negative
Sertraline,Social Anxiety Disorde,"Sertraline does help Social Anxiety and Depression associated with this. I have been on it for nine months and if I said it has not provided me any benefit, I'd be lying. It allows you to think more rationally, therefore making CBT more effective and easier. Also, it is good for Depression. It helped me to be more positive and covered up my depressive thoughts, although they do come up every now and then. I take Zoloft primarily for SA and I feel I need something a little more anxiolytic, obviously Zoloft IS anxiolytic as it is an antidepressant, however I do feel slightly jittery and twitchy whilst on it (I am at a maximum 200mg). I am moving on soon, to Paxil or Lexapro, preferably Paxil. I'd recommend Zoloft for someone with a mix though",9,5,Partial efficacy with noticeable side effects.,negative
Lisinopril,High Blood Pressure,Have taken lisinopril for at least 10 years and had no side effects that I can tell. I'm very sensitive to medications but this has effectively controlled my blood pressure with no down sides that I can think of.,9,10,Effective BP control for years with no side effects.,positive
Glipizide,"Diabetes, Type 2","Four years ago I tried Metformin for my type 2 diabetes and had a horrific reaction, severe fainting, stomach pains, diarrhea, cramps, and discontinued. Tried a second time a few weeks later, had same horrrific reaction. This week I started Glipizide and in five days I see a drop in my insulin to 115 from 346 at the start of the week. NO pains, cramps, diarrhea, and can't believe it. Feels like a miracle after my metformin experience.",10,8,Effective blood sugar control without side effects after Metformin failure.,positive
Hyaluronan,Osteoarthritis,"As a 64 yr old female I was having severe pain and stiffness in both knees due to advanced osteoarthritis. Ortho doc recommended a series of 4 weekly Orthovisc injections in both knees. For me, the shots were very painful. There was no improvement until after the 3rd week. I am now 1 wk. post the 4th and final shots and have greatly decreased pain. I now can exercise regularly without pain. The only difficulty I still have is walking up and down stairs. I highly recommended the orthovisc injection treatment.",9,8,Effective pain relief with minimal side effects.,positive
Mirena,Birth Control,"I have been very happy with Mirena. It was inserted at my 6 week post-partum appointment. I was nervous but felt nothing. It felt like a pap smear. I did have spotting for about 6 weeks after. I started a diet program two weeks after insertion, and I have lost 21 lbs in the last 6 weeks, so don't believe it when people tell you that they gained a whole bunch of weight after insertion. I have no complaints, and I would recommend Mirena to anyone.",10,8,Effective birth control with unexpected weight loss benefit.,positive
Oxcarbazepine,Bipolar Disorde,"I have bipolar 1, extremely dangerous highs and extreme lows. I also struggled with anxiety. I was always so anxious that it felt like bricks were crushing my chest all the time. I was in and out of Dr's offices trying to get help. It wasn't until age 32, when I was hospitalized in a psych ward, suicide attempt because I was done suffering and done with life. I had a psychiatrist try trileptal. I've tried numerous anti depressants and mood stabilizers and I didn't think this would work. Literally days later, I woke up without the chest crush feeling. I didn't even know normal people felt that way. Then I noticed my moods stabilizing. Been calm and mellow ever since. This saved my life. No noticeable side effects for me.",10,10,Life-saving medication for severe anxiety and mood stabilization.,positive
